Sample accession,Run accession,Sample name,Dilution number,Processing Institute ,PCR cycles,Post-processing read count,Number of genus-level phylotypes
ERS532155,ERR584307,COX-NF1-20,0 (original culture),ICL,20,33806,11
ERS532156,ERR584308,COX-NF2-20,1,ICL,20,13210,5
ERS532157,ERR584309,COX-NF3-20,2,ICL,20,136,4
ERS532158,ERR584310,COX-NF4-20,3,ICL,20,21,9
ERS532159,ERR584311,COX-NF5-20,4,ICL,20,27,7
ERS532160,ERR584312,COX-NF6-20,5,ICL,20,3,3
ERS532161,ERR584313,COX-NF-NEG-20,Negative control,ICL,20,6,4
ERS532162,ERR584314,COX-NF1-40,0,ICL,40,37097,36
ERS532163,ERR584315,COX-NF2-40,1,ICL,40,47915,52
ERS532164,ERR584316,COX-NF3-40,2,ICL,40,38116,60
ERS532165,ERR584317,COX-NF4-40,3,ICL,40,19315,53
ERS532166,ERR584318,COX-NF5-40,4,ICL,40,14741,64
ERS532167,ERR584319,COX-NF6-40,5,ICL,40,28856,65
ERS532168,ERR584320,COX-NF-NEG-40,Negative control,ICL,40,749,29
ERS532169,ERR584321,LOM-1-20,0,UB,20,24022,7
ERS532170,ERR584322,LOM-2-20,1,UB,20,28072,21
ERS532171,ERR584323,LOM-3-20,2,UB,20,1099,9
ERS532172,ERR584324,LOM-4-20,3,UB,20,79,4
ERS532173,ERR584325,LOM-5-20,4,UB,20,137,22
ERS532174,ERR584326,LOM-6-20,5,UB,20,14,6
ERS532182,ERR584334,LOM-PCR-20,Negative control,UB,20,5,5
ERS532175,ERR584327,LOM-1-40,0,UB,40,57518,49
ERS532176,ERR584328,LOM-2-40,1,UB,40,38110,55
ERS532177,ERR584329,LOM-3-40,2,UB,40,49550,78
ERS532178,ERR584330,LOM-4-40,3,UB,40,49548,79
ERS532179,ERR584331,LOM-5-40,4,UB,40,43561,95
ERS532180,ERR584332,LOM-6-40,5,UB,40,24681,96
ERS532181,ERR584333,LOM-PCR-40,Negative control,UB,40,44872,39
ERS532183,ERR584335,SAL-1-20,0,WTSI,20,37322,8
ERS532184,ERR584336,SAL-2-20,1,WTSI,20,15988,17
ERS532185,ERR584337,SAL-3-20,2,WTSI,20,2533,24
ERS532186,ERR584338,SAL-4-20,3,WTSI,20,326,27
ERS532187,ERR584339,SAL-5-20,4,WTSI,20,82,22
ERS532188,ERR584340,SAL-6-20,5,WTSI,20,89,27
ERS532189,ERR584341,SAL-PCR-20,Negative control,WTSI,20,37,15
ERS532190,ERR584342,SAL-1-40,0,WTSI,40,44705,72
ERS532191,ERR584343,SAL-2-40,1,WTSI,40,33092,96
ERS532192,ERR584344,SAL-3-40,2,WTSI,40,21919,60
ERS532193,ERR584345,SAL-4-40,3,WTSI,40,29129,88
ERS532194,ERR584346,SAL-5-40,4,WTSI,40,31304,81
ERS532195,ERR584347,SAL-6-40,5,WTSI,40,27112,112
ERS532196,ERR584348,SAL-PCR-40,Negative control,WTSI,40,29874,82
