,Aerococcus.christensenii,Agromyces.cluster54,Atopobium.vaginae,Bacteroides.massiliensis,Bifidobacterium.longum_infantis_suis,Bosea.cluster53,Bradyrhizobiaceae.cluster49,Caulobacter.leidyi,Caulobacteraceae.cluster34,Comamonadaceae.cluster57,Coriobacteriaceae.OTU27,Corynebacterium.cluster45,Delftia.acidovorans_lacustris_tsuruhatensis,Enterobacteriaceae.cluster31,Finegoldia.magna,Fusobacterium.cluster48,Gardnerella.vaginalis,Gemella.OTU86,Granulicatella.adiacens,Hyphomicrobium.methylovorum,Lactobacillus.crispatus_cluster,Lactobacillus.gasseri_cluster,Lactobacillus.iners,Lactobacillus.jensenii,Megasphaera.cluster52,Methylobacillus.flagellatus_glycogenes,Methylophilus.cluster11,Microbacterium.cluster35,Mobiluncus.mulieris,Mycoplasma.agalactiae,Mycoplasma.orale_faucium,Prevotella.OTU48,Prevotella.bivia,Prevotella.cluster2,Prevotella.melaninogenica_cluster,Propionibacterium.acnes,Pseudomonas.gessardii,Sneathia.amnii,Staphylococcus.cluster47,Streptococcus.agalactiae,Streptococcus.anginosus,Streptococcus.cluster29,Streptococcus.gordonii,Streptococcus.parasanguinis,TM7.OTU.H1,X_Lachnospiraceae_.BVAB1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,13670,0,0,0,0,0,0,0,0,0,0,0,7544,0,0,0,3,1,0,1506,0,0,0,0,0,0
2,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10310,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,14947,0,2,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,181,0,0,0,3956,0,7598,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,0,0,0,0,0,0,0,0
4,0,0,1424,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,21708,0,0,0,4,7,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3199,0,0,0,0,0,0,0,0,0,0,0,1854,0,0,2,1,6501,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9348,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1475,0,0,0,0,0,0
7,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7493,0,0,0,2,0,0,0,0,0,1,0,0,0,2,3,0,466,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3849,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3590,0,4,0,0,0,0,0,0
9,0,9,2,0,0,0,0,3,11,2,0,0,24,0,0,3,1,0,0,0,19,0,4,0,0,37,36,1,0,0,0,0,1,0,0,4,73,14,3,51332,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,865,0,0,1,9892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9138,0,0,0,0,0,0,0,0,0,4339,0,0,0,1,2,0,468,0,0,0,0,0,0
12,0,0,2930,0,0,0,0,0,1,0,0,0,0,0,0,3,1650,0,0,0,22645,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,4,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,1,1,0,0,0,0,0,16249,0,0,1,2,5,0,1937,0,0,0,0,0,0
14,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,9639,0,0,0,4,2,0,1249,0,0,0,0,0,0
15,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6229,0,1,0,0,0,0,0,0
